#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:metazoa_alignment" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:metazoa_alignment" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:metazoa_alignment" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.metazoa_alignment" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:metazoa_alignment" name="distribution" x="@birthRate.t:metazoa_alignment">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="FrequenciesPrior.s:metazoa_alignment" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:metazoa_alignment" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <distr id="Dirichlet.0" spec="beast.base.inference.distribution.Dirichlet">
#                <parameter dimension="4" estimate="false" id="RealParameter.13" name="alpha" spec="beast.base.inference.parameter.RealParameter">4.0 4.0 4.0 4.0</parameter>
#            </distr>
#        </prior>
#        <prior id="RateACPrior.s:metazoa_alignment" name="distribution">
#            <parameter id="rateAC.s:metazoa_alignment" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.base.inference.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateAGPrior.s:metazoa_alignment" name="distribution">
#            <parameter id="rateAG.s:metazoa_alignment" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta" spec="beast.base.inference.parameter.RealParameter">20.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateATPrior.s:metazoa_alignment" name="distribution">
#            <parameter id="rateAT.s:metazoa_alignment" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.2" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="beta" spec="beast.base.inference.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateCGPrior.s:metazoa_alignment" name="distribution">
#            <parameter id="rateCG.s:metazoa_alignment" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.3" name="distr">
#                <parameter estimate="false" id="RealParameter.7" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.8" name="beta" spec="beast.base.inference.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateGTPrior.s:metazoa_alignment" name="distribution">
#            <parameter id="rateGT.s:metazoa_alignment" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.5" name="distr">
#                <parameter estimate="false" id="RealParameter.11" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.12" name="beta" spec="beast.base.inference.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@metazoa_alignment" id="treeLikelihood.metazoa_alignment" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:metazoa_alignment">
#            <siteModel id="SiteModel.s:metazoa_alignment" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:metazoa_alignment" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:metazoa_alignment" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:metazoa_alignment" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="gtr.s:metazoa_alignment" rateAC="@rateAC.s:metazoa_alignment" rateAG="@rateAG.s:metazoa_alignment" rateAT="@rateAT.s:metazoa_alignment" rateCG="@rateCG.s:metazoa_alignment" rateGT="@rateGT.s:metazoa_alignment" spec="beast.base.evolution.substitutionmodel.GTR">
#                    <parameter estimate="false" id="rateCT.s:metazoa_alignment" lower="0.0" name="rateCT" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                    <frequencies frequencies="@freqParameter.s:metazoa_alignment" id="estimatedFreqs.s:metazoa_alignment" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:metazoa_alignment" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:metazoa_alignment" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate	rateAC	rateAG	rateAT	rateCG	rateGT	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-110136.24940706149	-110117.03486137284	-19.214545688654624	-110117.03486137284	1.6634395165923	7.406547224609447	-7.406547224609447	1.0	1.0	1.0	1.0	1.0	1.0	0.25	0.25	0.25	0.25
1000	-80256.48660261864	-80240.51367529064	-15.972927327992641	-80240.51367529064	0.8387796740860007	9.244105211119177	-4.164928863947467	2.7420199175063904	1.0	1.0	1.0	1.0	1.0	0.25	0.25	0.25	0.25
2000	-78961.02863505553	-78947.1126007472	-13.9160343083222	-78947.1126007472	0.6161910429091884	8.493967326803231	-2.1080358442770253	2.7420199175063904	1.0	1.0	1.0	1.0	1.0	0.25	0.25	0.25	0.25
3000	-78712.14584074832	-78698.59271472304	-13.55312602527001	-78698.59271472304	0.6260861940748659	8.526226600858914	-2.0771809205761684	2.4042561821972153	1.0	1.0	1.0	1.0	0.7206130478842411	0.25	0.2622024023368572	0.25	0.2377975976631428
4000	-78657.4940678604	-78643.91004807154	-13.584019788865811	-78643.91004807154	0.5953398733741904	8.403767393084653	-2.4308634524925057	3.1807709238259814	1.0	1.0	1.0	1.0	0.5237661868667816	0.25	0.2622024023368572	0.25	0.2377975976631428
5000	-78615.99476007828	-78600.37884596597	-15.615914112305271	-78600.37884596597	0.6079683299861176	8.420982342014463	-4.4627577759319665	1.4409665368869107	1.0	1.0	1.0	1.0	0.5237661868667816	0.25	0.2622024023368572	0.25	0.2377975976631428
6000	-78566.16114319072	-78552.4812000954	-13.679943095320713	-78552.4812000954	0.6015623789282231	8.371607946089028	-2.5274816620485145	1.863991883924456	1.0	1.0	1.0	1.0	0.5237661868667816	0.2598473081623909	0.2541923493110974	0.2481627448633689	0.2377975976631428
7000	-78561.98173883461	-78548.94958749415	-13.032151340462947	-78548.94958749415	0.6119166896120811	8.44875086617844	-1.8796899071907478	2.4729819854226576	1.0	1.0	1.0	1.0	0.5237661868667816	0.2598473081623909	0.2541923493110974	0.2481627448633689	0.2377975976631428
8000	-78542.95120834613	-78529.78854041033	-13.162667935800865	-78529.78854041033	0.6093412405803742	8.471896382448529	-2.0046128334557967	2.6832508352653015	1.0	1.0	1.0	1.0	0.5237661868667816	0.26846692776027187	0.24557272971321642	0.2481627448633689	0.2377975976631428
9000	-78214.93309474674	-78202.28533581902	-12.647758927713397	-78202.28533581902	0.6109164213906508	8.527895411238465	-2.1548722742304403	2.6832508352653015	1.0	1.0	0.5221119208810897	1.0	0.5237661868667816	0.26846692776027187	0.24557272971321642	0.2481627448633689	0.2377975976631428
10000	-78213.11502015662	-78200.72152821904	-12.393491937573376	-78200.72152821904	0.6040064103149909	8.447771834309863	-1.9006052840904202	2.369818316229599	1.0	1.0	0.5221119208810897	1.0	0.5237661868667816	0.26846692776027187	0.24557272971321642	0.2481627448633689	0.2377975976631428
11000	-78208.88111867462	-78196.26448826314	-12.61663041147344	-78196.26448826314	0.6058348286550164	8.532818352266087	-2.1237437579904834	2.6088506933172635	1.0	1.0	0.5221119208810897	1.0	0.5237661868667816	0.26846692776027187	0.24557272971321642	0.2481627448633689	0.2377975976631428
12000	-78212.46063856935	-78199.04920019995	-13.411438369389172	-78199.04920019995	0.6086449008684992	8.541057374982303	-2.918551715906216	3.20671647446118	1.0	1.0	0.5221119208810897	1.0	0.5237661868667816	0.26846692776027187	0.24557272971321642	0.2481627448633689	0.2377975976631428
13000	-78171.86179171894	-78158.90185375276	-12.959937966187269	-78158.90185375276	0.6119561145645325	8.51563152793273	-2.7427424511763507	3.1575150051381953	1.0	1.0	0.5221119208810897	0.7667116241550421	0.5237661868667816	0.26846692776027187	0.24557272971321642	0.2481627448633689	0.2377975976631428
14000	-78172.45227533476	-78160.09441462318	-12.357860711573112	-78160.09441462318	0.6069282605205004	8.406787819244384	-2.1406651965621952	2.99368289857864	1.0	1.0	0.5221119208810897	0.7667116241550421	0.5237661868667816	0.26846692776027187	0.24557272971321642	0.2481627448633689	0.2377975976631428
15000	-78171.0936764956	-78158.31305622758	-12.780620268020023	-78158.31305622758	0.6071750996839489	8.605711502927559	-2.563424753009105	2.874315907404974	1.0	1.0	0.5221119208810897	0.7667116241550421	0.5237661868667816	0.26846692776027187	0.24557272971321642	0.2481627448633689	0.2377975976631428
16000	-78122.83154100824	-78110.83651858973	-11.995022418509924	-78110.83651858973	0.5916533777186473	8.484861091924174	-2.012753853893593	2.6382524151835924	0.7977190618039707	1.0	0.5221119208810897	0.7667116241550421	0.5237661868667816	0.26846692776027187	0.24557272971321642	0.2481627448633689	0.2377975976631428
17000	-78121.01725080401	-78109.00038279942	-12.016868004593027	-78109.00038279942	0.6012763461520076	8.511590796749863	-2.03592787631713	2.4445400058173092	0.7977190618039707	1.0	0.5221119208810897	0.7667116241550421	0.5237661868667816	0.26846692776027187	0.24557272971321642	0.2421305650369111	0.24382977748960058
18000	-78119.6934072669	-78107.76817793776	-11.92522932912907	-78107.76817793776	0.5883787366379408	8.362522392408552	-1.9442892008531738	2.1229424570809634	0.7977190618039707	1.0	0.5221119208810897	0.7667116241550421	0.5237661868667816	0.26846692776027187	0.24557272971321642	0.2421305650369111	0.24382977748960058
19000	-78126.90545282945	-78114.86129504714	-12.044157782306666	-78114.86129504714	0.603933443368998	8.517615924111748	-2.063217654030769	2.5543465229424847	0.7977190618039707	1.0	0.5221119208810897	0.7667116241550421	0.5237661868667816	0.26846692776027187	0.24557272971321642	0.2421305650369111	0.24382977748960058
20000	-78123.31477347252	-78106.71145710492	-16.603316367607512	-78106.71145710492	0.608623727698063	8.573967847759883	-6.622376239331616	4.402790890428828	0.7977190618039707	1.0	0.5221119208810897	0.7667116241550421	0.5237661868667816	0.26846692776027187	0.24557272971321642	0.2421305650369111	0.24382977748960058
